Director_id,Director_Name,Show_ID,Show_type,Show_Name,release_year,Rating,duration,Genre_name,description,Genre_ID,Actor_name,Actor_id,Rating_id,Source,year_of_award,Awards_id,Award_name
474,Gary Ross,350,Movie,Seabiscuit,2003,PG-13,141 min,"Dramas, Sports Movies",An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit.,350,Ogden Wyatt,318,350,Medhurst and Sons,1997,523,Critical recognition
478,Walter Hill,606,Movie,The Long Riders,1980,R,100 min,Action & Adventure,"This Western chronicles the misadventures and demise of the James-Younger gang, 19th-century outlaws who tore through Missouri on a crime spree.",606,Sherilyn Worsfield,1140,606,Franecki Group,1989,128,Best Script
481,Anthony Minghella,137,Movie,Cold Mountain,2003,R,154 min,"Dramas, Romantic Movies","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm.",137,Betta Allen,991,137,Leffler-Tromp,1989,158,Best Script
488,Alan Parker,605,Movie,The Life of David Gale,2003,R,130 min,Dramas,"When a Texas professor and advocate for the elimination of the death penalty is falsely accused of a crime, he ends up on death row himself.",605,Dorelia Bachanski,1387,605,"Rodriguez, Monahan and Dare",2004,250,Best Screenplay
490,Rajiv Chilaka,407,Movie,Chhota Bheem - Neeli Pahaadi,2013,TV-Y7,64 min,Children & Family Movies,"Things get spooky when Bheem and his buddies travel to the border of Dholakpur, known for its eerie history and rumored to be haunted.",407,Raven Endecott,1381,407,Lakin-Okuneva,2004,786,Critical recognition
492,,471,Movie,Bridgerton - The Afterparty,2021,TV-14,39 min,Movies,"""Bridgerton"" cast members share behind-the-scenes stories from the hit show, plus comedian Nikki Glaser breaks down the costume drama's sexiest moments.",471,Jorge Farrin,720,471,"O'Kon, Corkery and Jakubowski",2002,1476,Best Actress
493,John Hughes,334,Movie,Ferris Bueller's Day Off,1986,PG-13,103 min,"Classic Movies, Comedies, Cult Movies","After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend.",334,Ida Santore,1410,334,"Wolf, Wisozk and Zieme",1996,1153,Best Screenplay
502,Vince Marcello,285,Movie,The Kissing Booth 3,2021,TV-14,114 min,"Comedies, Romantic Movies","Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee.",285,Even Fanthom,1330,285,"Bernier, Hodkiewicz and Tillman",1993,85,Best Script
509,"Alex Woo, Stanley Moore",24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,2021,TV-Y,61 min,Children & Family Movies,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!",24,Camila Szreter,582,24,Lowe and Sons,2007,812,Best Actress
513,,266,TV Show,Rascal Does Not Dream of Bunny Girl Senpai,2018,TV-14,1 Season,"Anime Series, International TV Shows, Romantic TV Shows","After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",266,Page Kneeshaw,1331,266,Daniel-Hickle,2009,956,Best Actor
516,Nick Castle,343,Movie,Major Payne,1995,PG-13,97 min,Comedies,A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition.,343,Yoko Derye-Barrett,1277,343,Feest-Powlowski,1997,312,Best Screenplay
518,,83,TV Show,Lucifer,2021,TV-14,6 Seasons,"Crime TV Shows, TV Comedies, TV Dramas","Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective.",83,Rhianon Percy,1867,83,Jenkins-Ruecker,1996,1447,Best Screenplay
520,Dibakar Banerjee,207,Movie,"LSD: Love, Sex Aur Dhokha",2010,TV-MA,112 min,"Dramas, Independent Movies, International Movies",This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.,207,Piotr O'Fallone,1538,207,Schaefer-Kozey,2012,691,Best Song
522,Scott Pleydell-Pearce,131,Movie,Barbie Big City Big Dreams,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals","At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends.",131,Megen Colliss,1009,131,D'Amore-Haley,2006,945,Best Actor
523,,133,TV Show,Brave Animated Series,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.,133,Phaedra McLeod,554,133,Kerluke-Monahan,2012,1462,Best Actor
527,Ahmed Siddiqui,490,Movie,Back to Q82,2017,TV-14,104 min,"Comedies, International Movies","Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.",490,Winnie Claxson,609,490,"Bins, Braun and Skiles",2004,1143,Critical recognition
542,K.S. Ravikumar,23,Movie,Avvai Shanmughi,1996,TV-PG,161 min,"Comedies, International Movies","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her.",23,Noell Mosedall,1057,23,"Rolfson, Botsford and Borer",1989,1487,Critical recognition
544,Louie Schwartzberg,379,Movie,Fantastic Fungi,2019,TV-14,81 min,Documentaries,"Delve into the magical world of fungi, from mushrooms that clear oil spills to underground fungal networks that help trees communicate.",379,Benton Simonett,366,379,Mertz LLC,2011,709,Critical recognition
548,,516,TV Show,Derry Girls,2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, TV Comedies","Amidst the political conflict of Northern Ireland in the 1990s, five high school students square off with the universal challenges of being a teenager.",516,Kailey Durand,1297,516,Kulas-Hickle,2011,1019,Best Movie
556,,362,TV Show,Charmed,2021,TV-14,3 Seasons,"TV Dramas, TV Sci-Fi & Fantasy","After their mother’s tragic death, a trio of sisters bond over their newfound powers, vanquish demons and band together to defend their magical legacy.",362,Brenn Greene,250,362,Heathcote Inc,2006,1035,Best Album
567,Jakub Piątek,625,Movie,Prime Time,2021,TV-MA,92 min,"Dramas, International Movies, Thrillers","On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",625,Seth Hallaways,140,625,Wiza-Bernier,2009,303,Best Script
574,Jeannot Szwarc,43,Movie,Jaws 2,1978,PG,116 min,"Dramas, Horror Movies, Thrillers","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white.",43,Gherardo Ruggiero,1671,43,Romaguera-Gorczany,2000,825,Best Actor
580,Trevor Nunn,590,Movie,Red Joan,2019,R,101 min,"Dramas, International Movies","When an unassuming elderly widow is arrested for treason, her tangled secret past as the KGB's longest-serving British spy is exposed.",590,Skylar Bettleson,1463,590,Berge and Sons,2012,1197,Best Actress
581,,233,TV Show,Wheel of Fortune,2019,TV-G,3 Seasons,Reality TV,"Pat Sajak and Vanna White host one of TV's most popular, long-running game shows, where players spin a wheel for prizes and solve mystery phrases.",233,Letisha Crinage,1257,233,Doyle-Lockman,2008,110,Best Song
582,Marcus Clarke,89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,96 min,"Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals.",89,Minnie McClary,531,89,Borer-Daugherty,2003,727,Best Movie
584,Angel Kristi Williams,228,Movie,Really Love,2020,TV-MA,95 min,"Dramas, Independent Movies, Romantic Movies",A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.,228,Christine Gudger,1563,228,"Kovacek, Parker and Gleichner",2004,883,Critical recognition
588,,522,TV Show,Kim's Convenience,2021,TV-MA,5 Seasons,"International TV Shows, TV Comedies","While running a convenience store in Toronto, members of a Korean-Canadian family deal with customers, each other and the evolving world around them.",522,Sher Cornewell,1400,522,"Gottlieb, Franecki and Schinner",1999,465,Best Actor
591,,392,TV Show,Wynonna Earp,2020,TV-MA,4 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",The outcast descendant of lawman Wyatt Earp teams up with an immortal Doc Holliday to rid the world of demonic revenants from the Wild West.,392,Cecilla Todhunter,1916,392,Franecki-Gerhold,1992,708,Critical recognition
597,Yuval Adler,390,Movie,The Operative,2019,TV-MA,117 min,"Dramas, International Movies, Thrillers","Working as a Mossad spy assigned to Tehran, Rachel reaches her breaking point. Now it’s dangerously hard to tell whose side she’s on.",390,Dacie Karlolczak,829,390,Tremblay-Walker,1994,801,Best Script
600,Keishi Otomo,373,Movie,Rurouni Kenshin: The Beginning,2021,TV-MA,138 min,"Action & Adventure, International Movies","Before he was a protector, Kenshin was a fearsome assassin known as Battosai. But when he meets the gentle Tomoe Yukishiro, his story begins to change.",373,Julio Pruce,1625,373,Becker Inc,2002,1335,Best Script
615,Kathryn Fasegha,439,Movie,2 Weeks in Lagos,2020,TV-PG,107 min,"Dramas, International Movies, Romantic Movies",A businessman returns home to Nigeria and falls in love with a friend's sister despite his family’s plan for him to marry a politician’s daughter.,439,Stephannie Palffrey,1287,439,Gibson-Becker,1993,783,Best Movie
616,"Anil V. Kumar, Anurag Basu",202,Movie,Kucch To Hai,2003,TV-14,136 min,"Dramas, International Movies, Thrillers","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge.",202,Karoly Drinkhill,934,202,"Abbott, Bergstrom and Gislason",2006,546,Critical recognition
619,Bryan Bertino,608,Movie,The Strangers,2008,R,85 min,"Horror Movies, Thrillers","A quiet stay at a remote vacation home spirals into terror for a couple when they come under attack by three masked, mysterious, murderous intruders.",608,Brockie Witchalls,1562,608,Murray-Hintz,1997,726,Best Movie
626,Ferdinando Cito Filomarino,271,Movie,Beckett,2021,TV-MA,110 min,Action & Adventure,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.,271,Gasparo Puddephatt,828,271,Shields Inc,2010,551,Best Script
632,,126,TV Show,Q-Force,2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies","A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!",126,Frazer Fibben,1627,126,Fahey-O'Conner,2011,611,Best Album
636,,512,TV Show,Chelsea,2017,TV-MA,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies","It's not her first talk show, but it is a first of its kind. Ideas, people and places that fascinate her, all in her unique style.",512,Mendie Maevela,1145,512,Schulist-Hane,1996,920,Critical recognition
644,,367,TV Show,Glow Up,2021,TV-14,3 Seasons,"British TV Shows, International TV Shows, Reality TV","In this competition show, aspiring makeup artists navigate colorful challenges to win a career-making opportunity in the beauty industry.",367,Prince Shorter,182,367,"Wilderman, Kirlin and Lueilwitz",1987,925,Best Movie
659,,70,TV Show,Stories by Rabindranath Tagore,2015,TV-PG,1 Season,"International TV Shows, TV Dramas",The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.,70,Clarissa Gawith,1549,70,Cronin Group,2009,1449,Best Album
660,,198,TV Show,I Heart Arlo,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.,198,Marla Flawn,1774,198,"Smitham, Hickle and Fadel",1995,463,Best Actress
661,,473,TV Show,Ridley Jones,2021,TV-Y,1 Season,Kids' TV,Curious kid Ridley and her friends protect the Museum of Natural History’s treasures and keep its magical secret safe: Everything comes alive at night!,473,Sherwin Feild,1005,473,Schroeder Group,2002,1486,Best Actor
665,Rajiv Chilaka,413,Movie,Chhota Bheem and the Incan Adventure,2013,TV-Y7,65 min,Children & Family Movies,"When Dholakpur’s princess is kidnapped, Bheem is off to the land of the Incas to save her, but he’s in for an even bigger challenge upon his arrival.",413,Chiquia Sidaway,193,413,Koelpin Inc,1992,1057,Best Song
672,"Bobby Farrelly, Peter Farrelly",169,Movie,Osmosis Jones,2001,PG,95 min,"Action & Adventure, Children & Family Movies, Comedies",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.,169,Yetty Bakeup,1313,169,"Schaden, Green and Mitchell",2008,550,Critical recognition
673,,320,TV Show,The Prince Who Turns into a Frog,2005,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.",320,Carol-jean McGrudder,1737,320,Deckow-Marquardt,1990,80,Best Actor
675,,435,TV Show,Okupas,2020,TV-MA,1 Season,"Classic & Cult TV, Crime TV Shows, International TV Shows","In 2000, a group of young men takes over a house in Buenos Aires, becoming squatters, while dealing with an increasingly violent and hostile city.",435,Tate Kilshall,1224,435,"Keebler, Beier and Wisoky",1989,249,Best Movie
686,Shanker Raman,119,Movie,Gurgaon,2017,TV-14,106 min,"Dramas, International Movies, Thrillers","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own.",119,Catarina Bawden,780,119,"Doyle, Schiller and Pacocha",2004,183,Best Actor
688,Spike Lee,360,Movie,The Original Kings of Comedy,2000,R,111 min,Stand-Up Comedy,"Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee.",360,Ash Mapam,327,360,"Reynolds, Hoppe and Pouros",2003,1082,Best Song
698,David Charhon,374,Movie,The Last Mercenary,2021,TV-MA,112 min,"Action & Adventure, Comedies, International Movies",A legendary secret agent-turned-mercenary comes out of hiding to save the son he's never met. Learning how to be a dad may be his toughest mission yet.,374,Garnet Shatford,409,374,"Cummerata, Klein and White",2010,932,Best Song
701,Hallie Meyers-Shyer,492,Movie,Home Again,2017,PG-13,97 min,"Comedies, Dramas, Romantic Movies","A newly single mom takes in three young male filmmakers as boarders, but her estranged husband returns to complicate her new, unconventional life.",492,Constantine Benedyktowicz,434,492,Kuhn LLC,2007,1430,Best Actor
704,John G. Avildsen,604,Movie,The Karate Kid Part III,1989,PG,112 min,"Children & Family Movies, Dramas",A returning adversary threatens the bond between karate champ Daniel and mentor Mr. Miyagi with an intricate plan for revenge and a brutal challenger.,604,Jard Berkely,919,604,Ullrich-Wehner,1986,573,Best Screenplay
706,,518,TV Show,Good Morning Call,2017,TV-14,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies","A high school girl finally gets her own apartment, but she has to share it with the most popular boy in school. No one can know they're living together.",518,Bartholomew Wloch,1161,518,Mayer LLC,1992,1062,Best Script
708,,276,TV Show,The Kingdom,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","After his running mate's murder, a controversial televangelist becomes Argentina's presidential candidate. But nothing about him is as holy as he seems.",276,Raphael Ramelot,1247,276,"Gislason, Rowe and Connelly",2011,1302,Best Script
710,Robert Luketic,30,Movie,Paranoia,2013,PG-13,106 min,Thrillers,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor.",30,Randie Paschke,462,30,Hayes-Rowe,1991,1369,Best Screenplay
711,Clint Eastwood,351,Movie,Space Cowboys,2000,PG-13,130 min,"Action & Adventure, Dramas, Sci-Fi & Fantasy",A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission.,351,Alphonse Dymond,1735,351,"Bashirian, Kunde and Rogahn",2005,476,Best Script
719,Bill Condon,449,Movie,The Twilight Saga: Breaking Dawn: Part 2,2012,PG-13,115 min,"Dramas, Romantic Movies","In the epic series' final chapter, Bella and Edward's newborn daughter forces the couple into a life-altering confrontation with the Volturi.",449,Ericha Cappel,1687,449,"Satterfield, Boyle and Dare",1987,1215,Best Album
728,Christopher Nolan,341,Movie,Inception,2010,PG-13,148 min,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious.,341,Jillana Westwater,731,341,Farrell-Streich,1994,1420,Best Song
737,,540,TV Show,The New Legends of Monkey,2020,TV-PG,2 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",A valiant girl liberates the Monkey King – a god long trapped in stone – in a quest to find seven sacred scrolls and save the world from evil.,540,Garreth Entreis,136,540,Rath LLC,2011,1486,Best Actress
738,,324,TV Show,30 Rock,2012,TV-14,7 Seasons,TV Comedies,Liz Lemon juggles the demands of running an NBC sketch comedy show with trying to fix her disaster of a personal life and eating her night cheese.,324,Ronnie Quinion,1497,324,Mitchell-Larson,2009,1013,Critical recognition
745,Steven Tsuchida,376,Movie,Resort to Love,2021,TV-14,102 min,"Comedies, Romantic Movies","Reeling from a broken heart and career meltdown, a singer takes a gig at a swanky island resort — where her ex-fiancé happens to be getting married.",376,Josie Brattan,595,376,"Rohan, Vandervort and Crooks",1984,1254,Best Script
747,"JJC Skillz, Funke Akindele",85,Movie,Omo Ghetto: the Saga,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them.",85,Johnna Ianilli,298,85,"Yundt, Wuckert and Nader",1977,167,Best Movie
748,Julián Gaviria,279,Movie,Lokillo: Nothing's the Same,2021,TV-MA,64 min,Stand-Up Comedy,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail.",279,Celinda Baggarley,1649,279,"McLaughlin, Kertzmann and Jacobson",1999,1317,Best Actress
751,,517,TV Show,Girl from Nowhere,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries","A mysterious, clever girl named Nanno transfers to different schools, exposing the lies and misdeeds of the students and faculty at every turn.",517,Sherill Batiste,283,517,Bednar Group,2011,1480,Best Screenplay
760,Jane Campion,116,Movie,Bright Star,2009,PG,119 min,"Dramas, Romantic Movies",This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.,116,Bailey Coomber,1664,116,Kovacek-Bahringer,1996,985,Critical recognition
767,,35,TV Show,Tayo and Little Wizards,2020,TV-Y7,1 Season,Kids' TV,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.,35,Sherilyn Lissaman,674,35,Yost Group,1995,1024,Best Actress
772,Renny Harlin,333,Movie,Deep Blue Sea,1999,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence.,333,Aubrey Grestie,149,333,Abshire Group,1998,664,Best Actor
776,Steven Yamamoto,280,Movie,Monster Hunter: Legends of the Guild,2021,TV-PG,59 min,"Action & Adventure, Anime Features, Children & Family Movies","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon.",280,Dulcia Giovani,1806,280,Powlowski-Heller,2004,597,Best Song
779,David Oyelowo,232,Movie,The Water Man,2021,PG,92 min,"Children & Family Movies, Dramas","Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death.",232,Davin Bengochea,1714,232,Kunze LLC,2010,266,Best Script
780,,544,TV Show,Undercover,2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Action & Adventure",Undercover agents infiltrate a drug kingpin's operation by posing as a couple at the campground where he spends his weekends. Inspired by real events.,544,Oswald Leefe,360,544,Howe-Hansen,1988,655,Best Actor
783,Gilles Paquet-Brenner,129,Movie,Agatha Christie's Crooked House,2017,PG-13,115 min,"Dramas, International Movies, Thrillers","When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family.",129,Robinetta Archell,1972,129,Thiel-Kreiger,2007,233,Best Screenplay
786,,226,TV Show,Open Your Eyes,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment.",226,Quincey Zanazzi,405,226,Kovacek-Hane,2012,1439,Best Actor
787,,66,TV Show,Numberblocks,2021,TV-Y,6 Seasons,Kids' TV,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together.",66,Bartram Tremaine,1271,66,Connelly-Stehr,2008,460,Critical recognition
788,Chineze Anyaene,316,Movie,Ije: The Journey,2010,TV-MA,106 min,"Dramas, International Movies","When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom.",316,Lombard Praton,1458,316,Schroeder and Sons,2007,860,Best Album
790,Simon Wincer,138,Movie,Crocodile Dundee in Los Angeles,2001,PG,95 min,"Action & Adventure, Comedies","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel.",138,Mattie Jeaneau,1564,138,"Quitzon, Tromp and Fahey",2008,912,Best Song
794,Rajiv Chilaka,414,Movie,Chhota Bheem and The ShiNobi Secret,2013,TV-Y7,64 min,Children & Family Movies,"After learning of a samurai village under threat by their own emperor, Bheem sets off for Japan to offer his help.",414,Rikki Ammer,1310,414,Hilpert-Reichert,2004,1056,Best Movie
802,"Evan Goldberg, Seth Rogen",179,Movie,The Interview,2014,R,112 min,"Action & Adventure, Comedies",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.,179,Bernie Grieveson,1136,179,Nolan-Leffler,2006,684,Best Song
814,Trey Parker,352,Movie,Team America: World Police,2004,R,98 min,"Action & Adventure, Comedies, Cult Movies","In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet.",352,Salaidh Setford,1428,352,Mann Inc,2004,632,Critical recognition
815,,281,TV Show,Bake Squad,2021,TV-PG,1 Season,Reality TV,Expert bakers elevate desserts with next-level ideas and epic execution. Now the battle is on to win over clients in need of very special sweets.,281,Filmer Hudleston,476,281,Treutel-Bauch,2000,370,Best Song
818,Rajiv Chilaka,415,Movie,Chhota Bheem Aur Hanuman,2012,TV-Y7,68 min,Children & Family Movies,"When two evil entities kidnap a princess in a plot to build a new kingdom, Bheem takes them on with the help of the courageous monkey god Hanuman.",415,Lonny Lammenga,449,415,Christiansen-Bergnaum,1995,714,Best Actor
825,David Dhawan,206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,2001,TV-14,150 min,"Comedies, International Movies, Sci-Fi & Fantasy",The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.,206,Eb Gillions,1641,206,Stehr-Hansen,2011,446,Best Song
827,Sam Hobkinson,284,Movie,Misha and the Wolves,2021,PG-13,90 min,"Documentaries, International Movies","As a little girl, she escaped the Holocaust and lived among wolves. Or did she? An extraordinary story elicits sympathy — then draws scrutiny.",284,Lanny Prickett,691,284,"Langosh, O'Hara and Rodriguez",2005,1146,Critical recognition
828,Garry Marshall,361,Movie,Valentine's Day,2010,PG-13,125 min,"Comedies, Romantic Movies",The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14.,361,Art Everington,1141,361,Monahan LLC,2001,682,Critical recognition
840,Rajiv Chilaka,417,Movie,Chhota Bheem aur Krishna vs Zimbara,2013,TV-Y7,64 min,Children & Family Movies,"A demon of darkness is plotting world domination — but when Bheem and Krishna catch wind of his plans, they’ll stop at nothing to destroy him.",417,Phoebe Rowlatt,513,417,Hackett LLC,2001,60,Best Screenplay
841,,321,TV Show,Top Secret UFO Projects: Declassified,2021,TV-PG,1 Season,Docuseries,"Though claims of extraterrestrial encounters have long been dismissed, many believe the existence of UFOs is not just likely, but a certainty.",321,Forester Allicock,270,321,"Mohr, Turner and Shields",2008,796,Best Actress
845,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",440,Movie,Deep,2021,TV-MA,101 min,"Dramas, International Movies, Thrillers",Four insomniac med school students are lured into a neuroscience experiment that spirals out of control — and must find a way out before it’s too late.,440,Ursulina Bouzek,1556,440,"Batz, Zboncak and D'Amore",2010,173,Best Screenplay
850,,273,TV Show,Fast & Furious Spy Racers,2021,TV-Y7,5 Seasons,Kids' TV,A government agency recruits teen driver Tony Toretto and his thrill-seeking friends to infiltrate a criminal street racing circuit as undercover spies.,273,Debor Rydings,401,273,"Breitenberg, Bernier and Hilll",2002,257,Best Actress
854,Douglas Attal,482,Movie,How I Became a Superhero,2021,TV-MA,101 min,"Action & Adventure, Dramas, International Movies","In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers.",482,Marchelle Dougliss,1997,482,Koch Group,2012,1279,Best Actor
862,David Fincher,601,Movie,The Game,1997,R,129 min,Thrillers,An aloof investment banker's life spirals into peril and paranoia after his brother gives him an odd birthday gift: the chance to play a mysterious game.,601,Denni Caldron,1541,601,"Sawayn, Kshlerin and Marvin",2010,750,Critical recognition
865,Brian Andrew Mendoza,248,Movie,Sweet Girl,2021,R,110 min,"Action & Adventure, Dramas","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now.",248,Clotilda Groven,746,248,Leuschke LLC,1990,242,Best Actress
866,Tom Elkins,354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,2013,R,101 min,Horror Movies,A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past.,354,Larina Chichgar,1236,354,"Lehner, Goldner and Spencer",1995,1479,Best Album
875,Zara Hayes,349,Movie,Poms,2019,PG-13,91 min,Comedies,"After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors.",349,Carlotta Patrick,492,349,Thiel-Wolf,1994,1445,Best Song
876,,629,TV Show,StarBeam,2021,TV-Y,4 Seasons,Kids' TV,"When colorful villains come out to play, 8-year-old Zoey has the power to transform into StarBeam, a kid-sized superhero. She saves the day, every day!",629,Trip Reace,1688,629,Hackett-Koepp,1995,1211,Best Movie
879,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",69,Movie,Schumacher,2021,TV-14,113 min,"Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher.",69,Tymon Abbets,1650,69,Stoltenberg LLC,2000,438,Best Movie
896,Drake Doremus,252,Movie,Like Crazy,2011,PG-13,91 min,"Dramas, Independent Movies, Romantic Movies",A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.,252,Abagail Schubert,1807,252,Ferry-Blanda,1986,614,Best Script
897,Clay Glen,394,Movie,A Second Chance:  Rivals!,2021,PG,91 min,"Children & Family Movies, Sports Movies","Crushed when she doesn't qualify for the Olympics, a now-grown Maddy Cornell finds new purpose coaching young gymnasts going up against a rival team.",394,Valentin Bratley,591,394,"Beer, Hayes and Smitham",2012,379,Best Script
905,Mark Waters,197,Movie,He's All That,2021,TV-14,92 min,"Comedies, Romantic Movies","An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That.""",197,Ignaz Tranckle,1478,197,Pollich and Sons,2004,1188,Best Song
907,Delhiprasad Deenadayalan,80,Movie,Tughlaq Durbar (Telugu),2021,TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,80,James Sleany,813,80,King-Gerhold,2000,807,Best Album
912,,93,TV Show,Into the Night,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.,93,Michel Cappell,1772,93,"Murazik, Johnson and Rice",2007,968,Best Actor
